Open,High,Low,Close,Volume,Dividends,Stock Splits
251.72000122070312,257.32666015625,243.63999938964844,246.7899932861328,77247900,0.0,0.0
244.1566619873047,264.2099914550781,242.06666564941406,258.3333435058594,93473100,0.0,0.0
243.22666931152344,247.79666137695312,233.4166717529297,234.51666259765625,112393800,0.0,0.0
244.35333251953125,244.86666870117188,234.35000610351562,238.27999877929688,84204600,0.0,0.0
234.0,239.99667358398438,230.0933380126953,238.8866729736328,72808500,0.0,0.0
240.086669921875,249.9633331298828,239.17666625976562,241.86666870117188,76210500,0.0,0.0
249.33999633789062,255.54666137695312,239.32666015625,239.7066650390625,96491400,0.0,0.0
235.1566619873047,239.5,227.913330078125,232.22999572753906,97536600,0.0,0.0
223.1666717529297,226.63333129882812,214.68333435058594,215.73666381835938,102767400,0.0,0.0
218.2866668701172,226.3300018310547,211.73666381835938,220.88999938964844,97988700,0.0,0.0
220.9166717529297,235.663330078125,218.14999389648438,233.0,119131800,0.0,0.0
222.73666381835938,225.1666717529297,208.69332885742188,213.10000610351562,107390700,0.0,0.0
213.43333435058594,220.97000122070312,213.19667053222656,216.75999450683594,92641800,0.0,0.0
224.60333251953125,243.57666015625,224.3333282470703,237.0366668701172,122793000,0.0,0.0
234.50332641601562,246.8333282470703,233.82666015625,236.086669921875,101107500,0.0,0.0
237.9066619873047,239.31666564941406,228.6366729736328,235.07000732421875,104202600,0.0,0.0
237.47000122070312,246.06666564941406,236.086669921875,245.7066650390625,95770800,0.0,0.0
249.36666870117188,252.07000732421875,242.56666564941406,244.9199981689453,89178300,0.0,0.0
244.48333740234375,249.97000122070312,232.3433380126953,232.663330078125,90391200,0.0,0.0
230.5,231.17333984375,222.27333068847656,228.49000549316406,82897200,0.0,0.0
224.50999450683594,229.4566650390625,218.8633270263672,224.47332763671875,94600500,0.0,0.0
227.0,230.22999572753906,222.1199951171875,227.26333618164062,74460300,0.0,0.0
223.0,233.14666748046875,216.1666717529297,233.06666564941406,84581100,0.0,0.0
230.77999877929688,234.56333923339844,227.18666076660156,231.73333740234375,71853600,0.0,0.0
233.9199981689453,245.3633270263672,232.2100067138672,244.5433349609375,81930600,0.0,0.0
242.3333282470703,254.97999572753906,241.16000366210938,250.76333618164062,101854200,0.0,0.0
252.10333251953125,253.06333923339844,233.6266632080078,234.3433380126953,99241200,0.0,0.0
236.84666442871094,239.77333068847656,228.3699951171875,233.07000732421875,87930900,0.0,0.0
225.5,242.05999755859375,225.03334045410156,237.0399932861328,97954500,0.0,0.0
234.89666748046875,238.65333557128906,229.3333282470703,238.31333923339844,78557400,0.0,0.0
240.0,243.6233367919922,236.88999938964844,240.06666564941406,69683100,0.0,0.0
244.93666076660156,250.51666259765625,239.60333251953125,240.54666137695312,82537500,0.0,0.0
245.0,247.13999938964844,236.97666931152344,245.52999877929688,80890200,0.0,0.0
246.78334045410156,250.663330078125,243.48333740234375,247.5,88864200,0.0,0.0
255.10667419433594,273.26666259765625,254.86666870117188,271.7066650390625,142032300,0.0,0.0
276.2200012207031,280.78668212890625,270.71331787109375,272.24334716796875,103472700,0.0,0.0
272.2166748046875,274.14666748046875,267.3999938964844,268.4333190917969,64073400,0.0,0.0
266.5133361816406,267.30999755859375,256.2633361816406,258.8599853515625,66820800,0.0,0.0
263.80999755859375,275.9266662597656,261.7900085449219,274.82000732421875,88110000,0.0,0.0
280.0666809082031,283.29998779296875,272.79998779296875,280.8999938964844,84723000,0.0,0.0
280.70001220703125,298.32000732421875,279.1000061035156,297.1499938964844,95313000,0.0,0.0
301.27667236328125,311.8766784667969,295.0,297.27667236328125,117042900,0.0,0.0
294.0033264160156,307.8333435058594,292.6666564941406,300.586669921875,95577600,0.0,0.0
305.0,309.54998779296875,301.1499938964844,307.39666748046875,80091000,0.0,0.0
311.0,313.6066589355469,305.0,308.6333312988281,72256200,0.0,0.0
302.6700134277344,304.6066589355469,285.5433349609375,288.1700134277344,113172900,0.0,0.0
295.0,305.20001220703125,289.086669921875,290.42333984375,98994000,0.0,0.0
290.2933349609375,292.39666748046875,279.35333251953125,283.3333435058594,86244600,0.0,0.0
297.0666809082031,297.510009765625,283.3699951171875,294.3566589355469,94918800,0.0,0.0
296.5133361816406,298.2366638183594,285.8333435058594,286.6300048828125,70155000,0.0,0.0
289.4166564941406,300.1600036621094,285.0333251953125,300.0299987792969,79657200,0.0,0.0
301.78668212890625,313.1333312988281,301.2300109863281,309.32000732421875,89359200,0.0,0.0
311.6666564941406,314.6666564941406,302.8833312988281,306.5633239746094,88136400,0.0,0.0
303.39666748046875,309.65667724609375,300.0333251953125,303.9966735839844,68766000,0.0,0.0
306.0,306.5,301.85333251953125,302.8699951171875,47500500,0.0,0.0
299.0,300.3599853515625,292.5,296.6666564941406,61395300,0.0,0.0
291.913330078125,292.3999938964844,286.2966613769531,289.913330078125,55843200,0.0,0.0
291.4533386230469,298.82666015625,287.92333984375,296.4533386230469,63984900,0.0,0.0
297.5633239746094,303.64666748046875,296.5,297.0966796875,57259800,0.0,0.0
302.3599853515625,302.9599914550781,291.6000061035156,296.07000732421875,53230000,0.0,3.0
297.42999267578125,302.0,287.4700012207031,288.0899963378906,57163900,0.0,0.0
282.8299865722656,287.739990234375,280.70001220703125,284.82000732421875,41864700,0.0,0.0
287.8699951171875,288.4800109863281,272.6499938964844,277.70001220703125,50541800,0.0,0.0
280.6199951171875,281.25,271.80999755859375,275.6099853515625,52107300,0.0,0.0
272.5799865722656,277.5799865722656,266.1499938964844,277.1600036621094,54287000,0.0,0.0
