Date,Open,High,Low,Close,Volume,SMA30,SMA8,EMA50,EMA12,K,D,RSI,Month,Year,Day,Day_Name
2018-03-19,315.799988,317.0,307.339996,313.480011,9925200,291.2646663,320.02375025,299.20696260726015,314.1707194287576,59.60591133004926,67.86862791461414,62.91362922868081,3,2018,19,Monday
2018-03-20,313.26001,319.5,312.799988,317.5,5991900,293.37266646666666,320.08625025,300.2164050222492,314.6858192638795,67.52707192118228,65.5106666666667,64.22658842041538,3,2018,20,Tuesday
2018-03-21,316.350006,319.399994,314.51001,316.480011,5263900,295.0646668,318.216251375,301.0997561249041,314.96317130540507,65.51724137931035,64.21674154351398,64.20560687821106,3,2018,21,Wednesday
2018-03-22,313.070007,314.119995,305.660004,306.700012,8063300,296.4693339333333,316.39125437499996,301.39940732594715,313.6867659163686,25.013756870016955,52.68602339016987,53.10611715564441,3,2018,22,Thursday
2018-03-23,307.410004,309.369995,300.359985,300.940002,9529900,298.1640004666667,314.523754,301.3751724053524,311.7190071720244,1.7252128240471858,30.7520703577915,41.50555411175464,3,2018,23,Friday
2018-03-26,309.359985,321.029999,302.0,320.350006,11988300,300.52666729999993,314.37375625000004,302.3627787968063,313.0507002217089,59.4586720426689,28.73254724557769,47.351822949856704,3,2018,26,Monday
2018-03-27,322.48999,322.899994,297.0,300.690002,12068600,301.9513336333333,311.823757,302.2768168451908,311.14439452802736,9.978369124876663,23.72075133053092,40.483491402200265,3,2018,27,Tuesday
2018-03-28,298.390015,298.799988,281.609985,285.769989,18972900,302.8680003,307.738754125,301.43875299761925,307.23254874123745,7.943482785362786,25.79350798430279,36.80161452500448,3,2018,28,Wednesday
2018-03-29,287.0,295.350006,275.899994,295.350006,19145500,303.8463338333333,305.4725035,301.1331540254388,305.4012602175807,33.48830287015931,17.136718260132923,34.09431391536053,3,2018,29,Thursday
2018-04-02,291.940002,292.869995,275.049988,280.290009,13405800,303.8470011666667,300.821254625,300.09837705690836,301.53226122199163,10.317031255439087,17.249605636987067,32.6772023629474,4,2018,2,Monday
2018-04-03,285.450012,291.25,278.01001,283.670013,12694900,304.0186686333334,296.720004875,299.29119501297254,298.7807752454851,17.57037408705915,20.458569404219187,36.15576554784422,4,2018,3,Tuesday
